cid,spider_ident_f,spider_ident_c
1612,https://www.feixiaohao.com/currencies/kickico/,https://coincheckup.com/coins/kickico
2354,https://www.feixiaohao.com/currencies/quantum-resistant-ledger/,https://coincheckup.com/coins/quantum-resistant-ledger
1973,https://www.feixiaohao.com/currencies/red-mwat/,https://coincheckup.com/coins/red-mwat
228,https://www.feixiaohao.com/currencies/authorship/,https://coincheckup.com/coins/authorship
1520,https://www.feixiaohao.com/currencies/indicoin/,https://coincheckup.com/coins/indicoin
3080,https://www.feixiaohao.com/currencies/verime/,https://coincheckup.com/coins/verime
1136,https://www.feixiaohao.com/currencies/friends/,https://coincheckup.com/coins/friendz
2065,https://www.feixiaohao.com/currencies/fujinto/,https://coincheckup.com/coins/fujinto
246,https://www.feixiaohao.com/currencies/axpire/,https://coincheckup.com/coins/axpire
3338,https://www.feixiaohao.com/currencies/zrcoin/,https://coincheckup.com/coins/zrcoin
4040,https://www.feixiaohao.com/currencies/blockpool/,https://coincheckup.com/coins/blockpool
82,https://www.feixiaohao.com/currencies/singularitynet/,https://coincheckup.com/coins/singularitynet
1491,https://www.feixiaohao.com/currencies/iconomi/,https://coincheckup.com/coins/iconomi
1379,https://www.feixiaohao.com/currencies/hackspace-capital/,https://coincheckup.com/coins/hackspace-capital
3269,https://www.feixiaohao.com/currencies/tezos/,https://coincheckup.com/coins/tezos-(pre-launch)
1508,https://www.feixiaohao.com/currencies/iht-real-estate-protocol/,https://coincheckup.com/coins/iht-real-estate-protocol
129,https://www.feixiaohao.com/currencies/amber/,https://coincheckup.com/coins/ambrosus
634,https://www.feixiaohao.com/currencies/coinlancer/,https://coincheckup.com/coins/coinlancer
136,https://www.feixiaohao.com/currencies/micromoney/,https://coincheckup.com/coins/micromoney
4078,https://www.feixiaohao.com/currencies/aion/,https://coincheckup.com/coins/aion
3349,https://www.feixiaohao.com/currencies/crystal-clear/,https://coincheckup.com/coins/crystal-clear
5495,https://www.feixiaohao.com/currencies/binance-coin/,https://coincheckup.com/coins/binance-coin
2459,https://www.feixiaohao.com/currencies/russian-mining-coin/,https://coincheckup.com/coins/russian-mining-coin
2836,https://www.feixiaohao.com/currencies/trueflip/,https://coincheckup.com/coins/trueflip
242,https://www.feixiaohao.com/currencies/aventus/,https://coincheckup.com/coins/aventus
2870,https://www.feixiaohao.com/currencies/tokencard/,https://coincheckup.com/coins/tokencard
2729,https://www.feixiaohao.com/currencies/starbase/,https://coincheckup.com/coins/starbase
3122,https://www.feixiaohao.com/currencies/wabi/,https://coincheckup.com/coins/wabi
1404,https://www.feixiaohao.com/currencies/hedge/,https://coincheckup.com/coins/hedge
2548,https://www.feixiaohao.com/currencies/seele/,https://coincheckup.com/coins/seele
1751,https://www.feixiaohao.com/currencies/loopring/,https://coincheckup.com/coins/loopring
1845,https://www.feixiaohao.com/currencies/syncfab/,https://coincheckup.com/coins/syncfab
2689,https://www.feixiaohao.com/currencies/sophiatx/,https://coincheckup.com/coins/sophiatx
2168,https://www.feixiaohao.com/currencies/pareto-network/,https://coincheckup.com/coins/pareto-network
3375,https://www.feixiaohao.com/currencies/shipchain/,https://coincheckup.com/coins/shipchain
260,https://www.feixiaohao.com/currencies/banca/,https://coincheckup.com/coins/banca
183,https://www.feixiaohao.com/currencies/ark/,https://coincheckup.com/coins/ark
1355,https://www.feixiaohao.com/currencies/gamecom/,https://coincheckup.com/coins/game.com
2269,https://www.feixiaohao.com/currencies/poet/,https://coincheckup.com/coins/poet
3513,https://www.feixiaohao.com/currencies/oyster/,https://coincheckup.com/coins/oyster
1172,https://www.feixiaohao.com/currencies/fundrequest/,https://coincheckup.com/coins/fundrequest
908,https://www.feixiaohao.com/currencies/dragon-coins/,https://coincheckup.com/coins/dragon-coins
685,https://www.feixiaohao.com/currencies/coss/,https://coincheckup.com/coins/coss
3358,https://www.feixiaohao.com/currencies/earth-token/,https://coincheckup.com/coins/earth-token
2513,https://www.feixiaohao.com/currencies/santiment/,https://coincheckup.com/coins/santiment
878,https://www.feixiaohao.com/currencies/agrello-delta/,https://coincheckup.com/coins/agrello-delta
2772,https://www.feixiaohao.com/currencies/suretly/,https://coincheckup.com/coins/suretly
162,https://www.feixiaohao.com/currencies/apis/,https://coincheckup.com/coins/apis
1875,https://www.feixiaohao.com/currencies/melon/,https://coincheckup.com/coins/melon
1899,https://www.feixiaohao.com/currencies/mobius/,https://coincheckup.com/coins/mobius
2905,https://www.feixiaohao.com/currencies/tomochain/,https://coincheckup.com/coins/tomochain
316,https://www.feixiaohao.com/currencies/dao-casino/,https://coincheckup.com/coins/dao-casino
1068,https://www.feixiaohao.com/currencies/escoro/,https://coincheckup.com/coins/escroco
509,https://www.feixiaohao.com/currencies/c20/,https://coincheckup.com/coins/c20
3152,https://www.feixiaohao.com/currencies/wagerr/,https://coincheckup.com/coins/wagerr
1997,https://www.feixiaohao.com/currencies/nucleus/,https://coincheckup.com/coins/nucleus-vision
1519,https://www.feixiaohao.com/currencies/indorse-token/,https://coincheckup.com/coins/indorse-token
3002,https://www.feixiaohao.com/currencies/uquid-coin/,https://coincheckup.com/coins/uquid-coin
1461,https://www.feixiaohao.com/currencies/ht/,https://coincheckup.com/coins/huobi-token
3580,https://www.feixiaohao.com/currencies/zephyr/,https://coincheckup.com/coins/zephyr
1937,https://www.feixiaohao.com/currencies/mothership/,https://coincheckup.com/coins/mothership
154,https://www.feixiaohao.com/currencies/aragon/,https://coincheckup.com/coins/aragon
1098,https://www.feixiaohao.com/currencies/eventchain/,https://coincheckup.com/coins/eventchain
3216,https://www.feixiaohao.com/currencies/billionaire-token/,https://coincheckup.com/coins/billionaire-token
506,https://www.feixiaohao.com/currencies/bezant/,https://coincheckup.com/coins/bezant
4852,https://www.feixiaohao.com/currencies/mith/,https://coincheckup.com/coins/mithril
1039,https://www.feixiaohao.com/currencies/eos/,https://coincheckup.com/coins/eos
690,https://www.feixiaohao.com/currencies/covesting/,https://coincheckup.com/coins/covesting
3834,https://www.feixiaohao.com/currencies/cryptopay/,https://coincheckup.com/coins/cryptopay
4003,https://www.feixiaohao.com/currencies/plexcoin/,https://coincheckup.com/coins/plex-coin
704,https://www.feixiaohao.com/currencies/copytrack/,https://coincheckup.com/coins/copytrack
4067,https://www.feixiaohao.com/currencies/cryptonex/,https://coincheckup.com/coins/cryptonex
2358,https://www.feixiaohao.com/currencies/quantstamp/,https://coincheckup.com/coins/quantstamp
542,https://www.feixiaohao.com/currencies/bitclave/,https://coincheckup.com/coins/bitclave
2973,https://www.feixiaohao.com/currencies/ucash/,https://coincheckup.com/coins/u.cash
2404,https://www.feixiaohao.com/currencies/ripio-credit-network/,https://coincheckup.com/coins/ripio-credit-network
1767,https://www.feixiaohao.com/currencies/lunyr/,https://coincheckup.com/coins/lunyr
1117,https://www.feixiaohao.com/currencies/eztoken/,https://coincheckup.com/coins/eztoken
296,https://www.feixiaohao.com/currencies/bitcrystals/,https://coincheckup.com/coins/bitcrystals
2562,https://www.feixiaohao.com/currencies/sether/,https://coincheckup.com/coins/sether
621,https://www.feixiaohao.com/currencies/swissborg/,https://coincheckup.com/coins/swissborg
2719,https://www.feixiaohao.com/currencies/selfsell/,https://coincheckup.com/coins/selfsell
463,https://www.feixiaohao.com/currencies/bitair/,https://coincheckup.com/coins/bitair
2615,https://www.feixiaohao.com/currencies/skrumblenetwork/,https://coincheckup.com/coins/skrumble-network
1551,https://www.feixiaohao.com/currencies/iquant/,https://coincheckup.com/coins/iquant
1453,https://www.feixiaohao.com/currencies/hoqu/,https://coincheckup.com/coins/hoqu
776,https://www.feixiaohao.com/currencies/carvertical/,https://coincheckup.com/coins/carvertical
2673,https://www.feixiaohao.com/currencies/spankchain/,https://coincheckup.com/coins/spankchain
1549,https://www.feixiaohao.com/currencies/ip-exchange/,https://coincheckup.com/coins/ip-exchange
2020,https://www.feixiaohao.com/currencies/nexo/,https://coincheckup.com/coins/nexo
5491,https://www.feixiaohao.com/currencies/bitcoin/,https://coincheckup.com/coins/bitcoin
428,https://www.feixiaohao.com/currencies/bodhi/,https://coincheckup.com/coins/bodhi
703,https://www.feixiaohao.com/currencies/apex/,https://coincheckup.com/coins/apex
2431,https://www.feixiaohao.com/currencies/augur/,https://coincheckup.com/coins/augur
1867,https://www.feixiaohao.com/currencies/morpheus-labs/,https://coincheckup.com/coins/morpheus-labs
1160,https://www.feixiaohao.com/currencies/flixxo/,https://coincheckup.com/coins/flixxo
